Emotion,Text
neutral,"@dannycastillo Houston ticket neitu nen kan insumdawn tawn kan duh a, mahse tumahin an nei lo."
neutral,cant fall muhil thei lo
neutral,Balisage Markup Conference 2009 Program-a No Topic Maps thusawi chu online-ah http://tr.im/mL6Z (via @bobdc) #topicmaps-ah a awm
neutral,@cynthia_123 i muhil thei lo
neutral,Bus bl***y chu ka miss ta!!!!!!!!
neutral,contraction chak tak a nei a mahse chhuah a duh thung. A rilru a hah lutuk chuan a rilru a buai em em a
neutral,"SoCal a ni! stoked a ni. emaw, ni lo mai thei.. naktuk"
neutral,Screw ka ti @davidbrussee! Kar 3 chauh ka nei...
neutral,vawiin chawhnu hian hna a nei
neutral,@GABBYiSACTiVE Aw min unfollow lo ang em? Tichuan ka tap thin
neutral,"@jakeboyd, aw noooo! tire i puak chuan reaaaally batman meikhu engemaw zat i thawn chhuak a ngai dawn a ni."
neutral,wnna take a bath!!!!
neutral,Chocolate milk hi chutiang chuan straw hmangin a tha zawk. Ka tlachham tih straw
neutral,"@Mennard time diff leh nitin thila ka inkhung ve chauh a, chuvang chuan ka tweet ngai lo. sawi thuai rawh,must sleep...6hrs hnuah tho rawh"
neutral,@benballer no way! damn chu chu a suck B! i ok em?
neutral,@ramtops chu recession a ni. a hotel hian account siam dan tur an siam thar leh mek a ni. hun rei lote chhungin pressure tlem a belhchhah a mahse kan tuar chhuak ang
neutral,@lostluna Mahse Sulu ah dibs ka hmu...
neutral,In lamah chauh tih tur tam tak awm lovin
neutral,@jertronic hi bday nudges engmah ka pe thei lo.
neutral,"Brothers Bloom hian tun kar tawp hian El Paso-ah an hawng dawn lo. Brick ka lei mai ang a, chu chu Brothers Bloom ka en theih hma loh chuan ka hlim ang."
neutral,plurking ka ngai em em a ti. A rilru a hah lutuk chuan a rilru a buai em em a
neutral,Voobys hi ka ngai em em mai!
neutral,@Dancing_Monk ELP pawh hi an ni lo!!
neutral,vawiin chawhnu khan ka dentist appt nen mix up a awm a. chuvang chuan naktuk @ 9am atan min reschedul ta a ni.
neutral,@lepetitagneau eng nge thleng sweetheart?
neutral,"Engtin nge system-wide spellchecker neih hi a harsat em em theih? Shit, office suite pakhatah ka settle ang. Windows tanpui thei lo bengchheng tak"
neutral,@willxxmobb chuan zing dar 6 ah hna a thawk ang. Gotta mut thuai tur a ni
neutral,PrinceCharming a ni
neutral,Oh chu hun chu a tak tak em?
neutral,@justamedicine Chu chu lungpui lum a ni Crazy.... ?
neutral,shift hun chhung bbye biochem waaaaaahhhhhh!! A rilru a hah lutuk chuan a rilru a buai em em a
neutral,"@melbournegirl some1 hian an cum out ang a, an khel ang tih ka ring. Zanlai thleng ka workin through."
neutral,@thecreativeone chu chu ka second a ni. Ka awmna hmunah hian ruah sur tam zawk se ka duh khawp mai
neutral,damn it were is Eric emaw midang emaw i sam khelhpui tur i mamawh hunah
neutral,Ka deflated deuhin ka hria. Ugh. Ui a awm tawh lo.
neutral,Well ni tha tak a ni tawh mai... Guess naktuk hian ka retry mai ang
neutral,@megturney well beer ka tlakchham avangin ka chhuak ta. ETA chungchang hi a chiang lo. Nghah nghak nghak. Bleh Gonna chu a rei nite methinks.
neutral,"claire @breakfastnt show hi a ngaina hle a, office @ 5am ah a lut a, radio a awm lo"
neutral,"Engnge? Tom-a chu ka ngaihtuah nasa lutuk a, ka hmangaih Barack-a chu ka hmu lo! Aw ni lo! An pahnih hian vote ka thlak ngei ngei tur a ni! President rethei tak hian vote 626 chauh a hmu."
neutral,@jwillock epicenter Wheelock Place - khualzinte tan chauh..
neutral,16&#39;-naah a miss
neutral,@TheHarvardian ka hria. Mahse ka sawi tawh ang khan he thil hi an chhui chian hun chhung hi ka hre lo.
neutral,@LaFloozita http://twitpic.com/4phze - A ropui hle mai! Ka naute hi ka ngai khawp mai
neutral,chocolate nen hian eng nge ni? i just ka ti thei ngai lo
neutral,@ether_radio ka harh lutuk tawh tunah chuan ill have a nap vawiin chawhnu hian
neutral,darkar 6 dang mut a la ngai
neutral,"Zing tweeple,way to early leh"
neutral,"khawiah nge ma bestfriend zawng zawng hi an awm ? , MIA nge wat ?"
neutral,ni chhuahnaah nuam hmmm hell no a vawt
neutral,@juneeyee i ngaihtuah lo. DETAILS KA DUH.
neutral,@jackgraycnn Hi...!!! Mary Poppins hi tu nge ni???
neutral,ka tweet hnuhnung ber khan phone chhe tak a rawn thawn lo
neutral,@taxidermi Parental Control ka en reng a
neutral,@rlcpbiatch piancham lawmpui rawhyy! ni ropui tak i hman ngei ka beisei. nizan khan next ah a hmu lo che!
neutral,@aiderushton ill chu a tawp tawh a
neutral,"@only1kcj guess a ni a, a no go girlie a ni. Gym-ah ka la awm a, zing dar 6:30am-ah hna ka thawk"
neutral,@juiceegapeach Mi riltam tak. Ill probably chuan chu Krispy Kreme chu ka hmu leh tawh lo mai thei. Ngaihven a ngai ta. An khar chhuak ta
neutral,@yelgiuQnayR airport ah hian a awm em? leh zanin hian i rawn lang lo homo!
neutral,@MrRathbone engtin nge ka awm ang
neutral,"URLs access theihna tak tak tur desktop twitter app i zawng em, rawtna eng emaw tal i nei em? Twittle hi ka duh viau nain linking erawh a awm lo"
neutral,out with @lizzziemonster &amp; @jamiejamess ka riltam lutuk
neutral,sikul atanga lo haw leh. Kan FT OCU angin Ms Suhana ni hnuhnung ber chu a tha khawp mai. ALTNOY hi ka khelh nawn leh fo thin.
neutral,"@ poll : chuan powerpoint-ah hnathawh tir tumin a bei a, a hlawhtling lo."
neutral,"@livestrongnj yeah, a rapthlak hle mai cockatoos hi nunpui harsa ber an ni a, so emotional. thil tha tak a hmu che, mahse!!"
neutral,"@Nymo hian a tha zawk ang, IMO, hla 3 pek zawng zawng hmanga play tir che ni se. &quot;Get it&quot; ka tan chauh a, a black out ta."
neutral,#3wordsaftersex a lo intan ngai lo...
neutral,"VaikO,Nedumaran ang ṭhiante nen chuan LTTE chuan hmelma an mamawh lo. Hun dik lo taka thurawn dik lo pek hian thihna tam tak a thlen &amp; a hloh bawk"
neutral,"Guitar ka looove a, ka play bawk. An sound ropui tak niin ka hria. I tha zawk ni se... Ni se"
neutral,@mysticnz no im lo tap lo LOL
neutral,Come on Knight... Darkar 4 chuang a liam tawh
neutral,twittascope hian ka socks a ti rock LO - kal bo tawh!!
neutral,Driving Back home a chhan chu @v_era tan cake piece ka theihnghilh vang a ni
neutral,@koifusionpdx tacos nen chuan i inhnaih em em a...spot khat chu a tlai tawh
neutral,@jennyvokals girl a blunt chu tunah hian ka ngaihtuahnaah soooooooo a ni. Stress tlemte nen ni ropui tak ka hmang a...in lamah lo haw rawh
neutral,"@passingcarss lei hun ka nei dawn lo a, binder thar pa ka mamawh bawk"
neutral,25-man Ulduar hi a harsa...
neutral,zan zan twitter khawvel. [still cant believe thomas thil naktuk gunna be FUN/SAD].
neutral,@princess_oats hei hi ka chungah pawh a thleng ve tho
neutral,"@oxygen8705 bored now a chhan chu mi pakhat nen kan inbia a mahse tunah chuan thil dang ah an buai tawh just kinda a bummer, idk"
neutral,ugh.. ka pa chuan Kavya Shivashankar the spellin bee girl chungchang article chhiar turin min ti chauh a..amah ang deuh zawk rawh.
neutral,@ThaBillCollecta YEA DAR 7:30 AH KA THAWH VE ANG
neutral,"Vawiin hian hnathawhna hmunah sale pakhat mah tih a ni lo. Theatre lian takah balcony a explore w thawhpui te. Ni nuam tak, mahse chili fries leh tips awm lo"
neutral,@sillybabyjulie kei pawh
neutral,@digenis chu thawnthu chuan Portugal rama awm kha a hriatchhuah tir
neutral,"@jhicks i zunthlum vei em? ka pa pawh chutiang bawk chu a ni. &amp; i pawh a ni mai thei, ka chiang lo. nilengin sugar i la ei phal em?"
neutral,@SuperFiasco Naktuk hian nachos ka siamsak ang. Amah ngeiin siam ta se a tha zawk.
neutral,@MyDailyRoutine ah hian a awm a ni. &amp;ka pillow hi judge suh
neutral,"@Giggles_xo misual , engtik laiin nge i chhuah dawn? engtin nge zan i riak theih loh"
neutral,@the_babsi manual process a awm... mahse ka outlook database ah 4ever a la a... pffff. crappy msft product a ni
neutral,OH NEVERMIND HE THIL HI UNSALVAGEABLE A NI KA TI ANG
neutral,"lyin khumah, up faaaaar hma lutuk"
neutral,Engtikah nge Medhurst hi a khelh leh ang?
neutral,@duncm Ben-a Thai-ed out deuh ka ni
neutral,@dmoneymania Ka lawm e. Naktuk zan atan i phur em? Karaoke a ni!! Bday atan thil danglam bik i hmu em?
neutral,in 7-11 w/o khan
neutral,"@becjee Yeah, plus sushi ei tur chuan Pinocchio’s pan tur chuan a hla deuh chauh a ni"
neutral,@brettyrocks thats what i was thinking mahse a on hun awmchhun chu zing dar 1 a ni!
neutral,"Peeps a la awm reng. Hun nuam tak tak. Gotta mut a ngai tho. AM-ah hna thawk rawh Hetah hian chicks cool, hot thenkhat. Mahse ____________ ang cool tak chu tumah an awm lo. Amah chu a ngai lo"
neutral,Weekend thlenga ni êng hloh darkar chhiar
neutral,good morning work vawiin zing hian gutted lol nevermind
neutral,@Deedubau hahaha thiltihtheihna an neih tih loh chu tumah emaw engmah ka hre lo lol... Ka bubble chhungah hian ka cheng a ni
neutral,"hmangaihna hi indona ang a ni a,,a bul tan a awlsam, tawp a harsa..fiuuhh..."
neutral,Inpeih Tak @ School
neutral,@Richard_Gable A tha a ni lawm ni! Kan holiday chalet chu hmuh theih loh mahse chutiang mite nen chuan a hmel v a inang. Vawiin hian haw leh tur
neutral,@nayRyelgiuQ airport ah hian a awm em? leh zanin hian i rawn lang lo homo!
neutral,@avalonabsinthe eng nge ni?! I awm ang angin lo kal rawh!!! Mahse erock chuan a chhuahsan chauh bah D:
neutral,gay tan chuan zanin hian 200 chauh i siam
neutral,"@dravenreborn SR ah a cool down tih ka bet a, huh? Hetah hian a awm lo. Chawhnu lam atang khan dad nen kan packing lai atang khan ka thawmhnaw ka chawlhsan tawh lo"
neutral,decided 2 trans frm relaxed 2 natural hair mahse ka lu zawng zawng hi ka zung ang ni se ka duh khawp mai. Kum a instant gratification a ni....
neutral,a hlawh tihpun a ngai http://plurk.com/p/wxluu
neutral,kar khat chu adam lambert performance tel lo chuan a inang lo mai mai!!!
neutral,@rockingjude Link a thawk lo
